"label_wn_quote","is_delivery_at_holiday","is_created_at_holiday","duration","gender","area_cleaning","day_of_week_delivery","day_of_week_created","total_cost","all_offers","corporate_offers","individual_offers","offers_busy","district","past_day_all_orders","past_day_wq_1h","past_day_wq_2h","past_day_wq_3h","cost_to_area","cost_times_area","duration_to_area","duration_times_area","indiv_offers_to_all_offers","corp_offers_to_all_offers","busy_offers_to_all_offers"
1,1,0,2,"0",-1,"5","4",0,98,5,93,0,"13",39,20,27,33,NA,NA,NA,NA,0.948979591836735,0.0510204081632653,0
1,0,1,1,"0",-1,"6","4",115000,63,10,53,0,"2",23,21,21,22,NA,NA,NA,NA,0.841269841269841,0.158730158730159,0
1,0,0,1,"0",-1,"4","3",105000,100,8,92,0,"4",63,39,46,49,NA,NA,NA,NA,0.92,0.08,0
1,0,0,1,"2",2,"3","2",-10000,144,5,139,0,"3",71,27,34,45,NA,NA,0.5,2,0.965277777777778,0.0347222222222222,0
1,0,0,3,"2",5,"3","2",170000,34,6,28,0,"21",44,40,44,44,34000,850000,0.6,15,0.823529411764706,0.176470588235294,0
1,0,0,2,"0",-1,"1","0",120000,72,10,62,1,"5",57,41,50,50,NA,NA,NA,NA,0.861111111111111,0.138888888888889,0.0138888888888889
0,0,0,1,"0",-1,"3","2",-10000,54,6,48,0,"out_of_range",53,50,51,52,NA,NA,NA,NA,0.888888888888889,0.111111111111111,0
0,0,1,1,"0",-1,"6","5",115000,59,7,52,0,"10",23,17,21,21,NA,NA,NA,NA,0.88135593220339,0.11864406779661,0
1,0,0,1,"0",-1,"3","1",90000,101,2,99,8,"6",36,18,21,28,NA,NA,NA,NA,0.98019801980198,0.0198019801980198,0.0792079207920792
1,0,0,7,"2",5,"3","1",205000,82,9,73,0,"1",21,21,21,21,41000,1025000,1.4,35,0.890243902439024,0.109756097560976,0
0,1,1,3,"0",-1,"5","4",-10000,104,8,96,2,"18",55,39,42,43,NA,NA,NA,NA,0.923076923076923,0.0769230769230769,0.0192307692307692
1,1,0,2,"0",-1,"0","6",120000,94,5,89,0,"1",30,17,19,20,NA,NA,NA,NA,0.946808510638298,0.0531914893617021,0
1,0,0,3,"1",3,"1","6",220000,80,7,73,0,"3",56,40,47,49,73333.3333333333,660000,1,9,0.9125,0.0875,0
1,0,0,5,"1",1,"6","4",250000,87,8,79,0,"10",56,52,52,53,250000,250000,5,5,0.908045977011494,0.0919540229885057,0
